time_seconds,time_years,number_density,temperature,cr_rate,fuv_field,visual_extinction,C,C+,CO,CO+,E,H,H+,H2,H2O,H2O+,H3O+,HCO+,O,O+,OH,OH+
0.0,0.0,10000.0,50.0,1e-17,1.0,2.0,0.0001,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1.0,1e-30,1e-30,1e-30,1e-30,0.0002,1e-30,1e-30,1e-30
0.031536,1e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999826521e-05,1.7347997761375739e-15,9.999999999870612e-31,9.999999999999913e-31,1.8175866611378713e-15,3.5824896000176775e-12,1e-30,0.9999999999982089,9.999999999756543e-31,3.195551840424862e-30,1.0000000159452238e-30,1.0000000000000088e-30,0.00019999999999991723,8.278686411416398e-17,1.0000000000117312e-30,2.08861329344981e-23
0.032646502950049956,1.0352138175434411e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999820412e-05,1.7958886989283363e-15,9.999999999866056e-31,9.99999999999991e-31,1.8815908261920234e-15,3.708642735144619e-12,1e-30,0.9999999999981457,9.99999999974797e-31,3.435756461196113e-30,1.000000015585964e-30,1.000000000000009e-30,0.00019999999999991433,8.570210488069366e-17,1.0000000000121443e-30,2.238299267132467e-23
0.03379611094836441,1.0716676480328644e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999814088e-05,1.8591287959001377e-15,9.999999999861339e-31,9.999999999999906e-31,1.9478488222363723e-15,3.8392382037544996e-12,1e-30,0.9999999999980804,9.999999999739097e-31,3.702240693572046e-30,1.00000001702893e-30,1.0000000000000094e-30,0.00019999999999991132,8.872000234910479e-17,1.0000000000125718e-30,2.39871288013563e-23
0.034986201032978004,1.1094051570579021e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999807541e-05,1.9245958181080924e-15,9.999999999856455e-31,9.999999999999903e-31,2.0164400152641793e-15,3.9744324373680585e-12,1e-30,0.9999999999980129,9.999999999729908e-31,3.99787966118314e-30,1.0000000207183543e-30,1.0000000000000097e-30,0.00019999999999990818,9.184417144985644e-17,1.0000000000130146e-30,2.5706229568804977e-23
0.036218198732691276,1.1484715478402866e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999800763e-05,1.992368184091136e-15,9.9999999998514e-31,9.9999999999999e-31,2.0874465660483005e-15,4.114387376057045e-12,1e-30,0.9999999999979429,9.999999999720398e-31,4.325863040893991e-30,1.0000000271688293e-30,1.00000000000001e-30,0.00019999999999990495,9.507835440862855e-17,1.0000000000134729e-30,2.754853421598047e-23
0.03749357977461635,1.1889136153797676e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999793747e-05,2.062527073804355e-15,9.999999999846168e-31,9.999999999999896e-31,2.160953528556083e-15,4.259270662421404e-12,1e-30,0.9999999999978705,9.99999999971055e-31,4.689729476540406e-30,1.0000000369747067e-30,1.0000000000000106e-30,0.00019999999999990162,9.842642522885425e-17,1.0000000000139474e-30,2.952287247199825e-23
0.03881387185185013,1.2307798025066632e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999786486e-05,2.1351565258589327e-15,9.99999999984075e-31,9.999999999999892e-31,2.2370489518297354e-15,4.4092558423969534e-12,1e-30,0.9999999999977955,9.999999999700358e-31,5.093404757705653e-30,1.0000000508206545e-30,1.0000000000000108e-30,0.00019999999999989815,1.0189239433209367e-16,1.0000000000144385e-30,3.163870687154429e-23
0.04018065645339568,1.274120257908285e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999778966e-05,2.2103435381863852e-15,9.999999999835143e-31,9.999999999999889e-31,2.3158239854543814e-15,4.564522573134446e-12,1e-30,0.9999999999977179,9.999999999689808e-31,5.54124417545148e-30,1.0000000694935008e-30,1.0000000000000113e-30,0.00019999999999989454,1.0548041336181543e-16,1.000000000014947e-30,3.390617810652506e-23
0.04159557075852123,1.3189868961986692e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999771184e-05,2.2881781722475136e-15,9.999999999829338e-31,9.999999999999883e-31,2.397372988740004e-15,4.725256838198765e-12,1e-30,0.9999999999976374,9.999999999678885e-31,6.038079511983512e-30,1.0000000938955241e-30,1.0000000000000116e-30,0.00019999999999989083,1.0919478015633416e-16,1.0000000000154734e-30,3.6336153627957996e-23
0.04306030959782708,1.3654334601035984e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999763125e-05,2.368753660910966e-15,9.999999999823327e-31,9.99999999999988e-31,2.4817936437481122e-15,4.891651170346113e-12,1e-30,0.9999999999975544,9.999999999667576e-31,6.589271171227597e-30,1.0000001250593524e-30,1.0000000000000122e-30,0.000199999999999887,1.1303994389686248e-16,1.0000000000160182e-30,3.894027973104099e-23
0.04457662748336903,1.4135155848353956e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999754784e-05,2.4521665201306204e-15,9.999999999817107e-31,9.999999999999875e-31,2.5691870722985064e-15,5.063904882146043e-12,1e-30,0.9999999999974681,9.99999999965587e-31,7.200766012759174e-30,1.0000001641646606e-30,1.0000000000000125e-30,0.00019999999999988302,1.17020510436844e-16,1.0000000000165822e-30,4.1731037373031186e-23
0.046146340710270135,1.4632908647345934e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999746148e-05,2.5385166645555277e-15,9.999999999810666e-31,9.999999999999871e-31,2.6596579570962845e-15,5.242224304724538e-12,1e-30,0.999999999997379,9.999999999643752e-31,7.879161513061661e-30,1.000000212556876e-30,1.0000000000000129e-30,0.0001999999999998789,1.2114124781894958e-16,1.0000000000171662e-30,4.4721801991453564e-23
0.04777132953233924,1.5148189222583473e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999737209e-05,2.627907527211007e-15,9.999999999804e-31,9.999999999999868e-31,2.75331466712427e-15,5.426823034914302e-12,1e-30,0.9999999999972868,9.999999999631207e-31,8.63177694635699e-30,1.0000002717681238e-30,1.0000000000000134e-30,0.00019999999999987462,1.254070919863492e-16,1.0000000000177706e-30,4.7926907609336204e-23
0.04945354041429842,1.568161479398098e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999727955e-05,2.72044618339398e-15,9.999999999797096e-31,9.999999999999862e-31,2.850269387450791e-15,5.617922191107771e-12,1e-30,0.9999999999971911,9.99999999961822e-31,9.466732352983438e-30,1.0000003435406716e-30,1.0000000000000137e-30,0.0001999999999998702,1.2982315269508883e-16,1.0000000000183965e-30,5.1361715534703496e-23
0.051194988363324916,1.6233824316122816e-09,10000.0,50.0,1e-17,1.0,2.0,9.999999999718376e-05,2.816243478931428e-15,9.999999999789951e-31,9.999999999999857e-31,2.9506382536087997e-15,5.815750678120297e-12,1e-30,0.9999999999970922,9.999999999604777e-31,1.039303614732262e-29,1.0000004298531632e-30,1.0000000000000144e-30,0.00019999999999986565,1.343947196346759e-16,1.0000000000190443e-30,5.504268798360326e-23
